	sales_name	gstin	26as_name	tan
2253	raviraj industries	27AAEFR1425N1Z1	raviraj industries	MUMR17073A
2254	raviraj plastochems	27AAHFR1143A1ZQ	raviraj plasto chems	MUMR16774C
2255	r b agarwalla company	19AADFR2467F1Z4	r b agarwalla company	CALR04656B
2256	rdb rasayans limited	19AABCR2313M1ZC	rdb rasayans limited	CALR02511F
2257	rdr taichi private limited	06AAJCR0306C1ZZ	rdr taichi private limited	RTKR11595D
2258	reep industries private limited	33AABCR3813N1ZD	reep industries private limited	CHER06545A
2259	reflexallen india tubing private limited	20AAJCR0882P1Z1	reflexallen india tubing private limited	RCHR02570B
2260	regal healthcare limited	10AACCR7639F1ZL	regal healthcare limited	SRTR08396D
2261	regent ajanta biotech	05AAJFR0349G1ZC	regent aganta biotech	MRTR01671F
2262	reid braids india	29AAJFR0745C1ZA	reid braids india	BLRR06450D
2263	reine lifescience	24AAQFR9860F1ZP	reine lifescience	BRDR03153D
2264	reitz india limited	36AABCR4005J1ZL	reitz india limited	HYDR01159E
2265	relax pharmaceticals pvt ltd	02AAACR9253R2ZW	relax pharmaceuticals pvt ltd	PTLR10116B
2266	reliance plastic	24AAFFR1141L1ZD	reliance plastics	AHMR01075E
2267	remidex pharma pvt ltd	29AAACR7006C1ZP	remidex pharma pvt ltd	BLRR00576C
2268	remsons industries limited	06AAACR3396K2Z2	remsons industries limited	MUMR00855B
2269	remsons industries limited	27AAACR3396K1ZZ	remsons industries limited	MUMR00855B
2270	rena exports private limited	27AAJCR6247A1ZF	rena exports private limited	MUMR40397A
2271	renu industries	23AAMFR5793D1ZZ	renu industries	BPLR04618F
2272	renu industries	24BOAPB5644C1ZM	renu industries	BPLR04618F
2273	repro india limited	06AAACR0379J1ZC	repro india limited	MUMR06831G
2274	revaa engineering	33AAMFR3245A1ZL	revaa engineering	CMBR05719A
2275	reynobond india	08ABCFR3062L1Z0	reynobond india	DELR39049D
2276	rgm business plus private limited	07AAECR2218N1Z8	rgm business plus private limited	DELR40000C
2277	rhino moulders	18AAUFR2740Q1ZA	rhino moulders	SHLR02518F
2278	right tight fasteners private limited	27AADCR3024M1ZB	right tight fastners private limited	NSKR04521G
2279	rims bizzserve private limited	06AAJCR2683J1Z0	rims bizzserve private limited	RTKR12157F
2280	ring plus aqua ltd	27AABCR3220M1ZF	ring plus aqua ltd	MUMR14476A
2281	r j industrial corporation	05AABFR8502P1ZY	r j industrial corporation	MRTR00832G
