	sales_name	gstin	26as_name	tan
0	3 generation	09AAAFZ6568L1ZD	3 generations	DELG13661E
1	3 generations	02AAAFZ6568L1ZR	3 generations	DELG13661E
2	3 generations	09AAAFZ6568L1ZD	3 generations	DELG13661E
3	3m india ltd	06AAACB5724H1ZY	3m india ltd	BLRM10885A
4	3m india ltd	19AAACB5724H1ZR	3m india ltd	BLRM10885A
5	3m india ltd	24AAACB5724H1Z0	3m india ltd	BLRM10885A
6	3m india ltd	27AAACB5724H1ZU	3m india ltd	BLRM10885A
7	3m india ltd	29AAACB5724H1ZQ	3m india ltd	BLRM10885A
8	3m india ltd	33AAACB5724H1Z1	3m india ltd	BLRM10885A
9	4b surgico	18AACFZ2059G1Z1	4b surgico	SHLB04841E
10	4s synergies private limited	06AAACZ6373J1ZY	4 s synergies private limited	DELS52796C
11	aadya life sciences llp	09ABCFA7192A1ZN	aadya life sciences llp	DELA39073G
12	aaj enterprises pvt ltd	06AAFCA4315G1Z3	aaj enterprises pvt ltd	DELA16991C
13	aaliya industries	02AALFA7443A1Z0	aaliya industries	DELA23514B
14	aameya polymers llp	23ABEFA7602B1Z6	aameya polymers llp	BPLA08714G
15	aa nutritions	17AANFA0954A1ZT	a nutritions	SHLA01195F
16	aaran 1 engineering private limited	36AANCA6278Q1ZP	aaran 1 engineering private limited	HYDA17000E
17	aarav fragrances and flavors private limited	27AAGCA2145K1ZP	aarav fragrances and flavors private limited	PNEA09268A
18	aar bee enterprise	19ABSFA2470M1ZU	aar bee enterprise	CALA27903B
19	aaren intpro	29AABFP3700F1ZL	aaren intpro	BLRP00735A
20	aar gee formulation	02AAPFA4325D1ZZ	aar gee formulations	PTLA14230G
21	aarkay associate	09AAEFA2539A1ZY	aar kay associate	AGRA10313C
22	aar kay forge p ltd	06AABCA5370R1ZB	aar kay forge p ltd	RTKA02100A
23	aarpik pharmaceuticals pvt ltd	24AABCA3157E1Z7	aarpik pharmaceuticals pvt ltd	AHMA01390E
24	aarpik pharmaceuticals pvt ltd	24AABCA3157E1Z7	aarpik pharmaceuticals pvt ltd	AHMA01390E
25	aarti industries ltd	24AABCA2787L1ZI	aarti industries ltd	MUMA09455F
26	aarti industries ltd	27AABCA2787L1ZC	aarti industries ltd	MUMA09455F
27	aashirvad autotech guj pvt ltd	24AAECA7228D1Z2	aashirvad autotech guj pvt ltd	BRDA01588G
28	aastha pharmaceuticals	07ABEFA2669J1ZA	aastha pharmaceuticals	DELA48531A
29	aastrid international pvt ltd	27AAECA1669G1ZP	aastrid international pvt ltd	MUMA18477E
30	abelin polymers	27AAAFA1942R1Z8	abelin polymers	MUMA10995F
31	abhilash life sciences lllp	33ABHFA6742M2Z7	abhilash life sciences llp	MRIA04299B
32	abhi metals	24ABCFA9351R1ZZ	abhi metals	RKTA04734C
33	abhinav electrical industries	26AAHFA8603N1Z7	abhinav electrical industries	MUMA19024F
34	abhirashi impex	06AATFA2989H1ZX	abhirashi impex	RTKA06772D
35	ab international	27AALCA7170P1ZZ	ab international	RKTA05600A
36	abis exports india pvt ltd	03AACCA2881J1ZU	abis exports india pvt ltd	JBPA00884C
37	abis exports india pvt ltd	22AACCA2881J1ZU	abis exports india pvt ltd	JBPA00884C
38	abs mercantiles pvt ltd	06AABCA8568R1ZX	abs mercantiles pvt ltd	DELA07751C
39	absolute barbeque private limited	04AALCA4670J1ZK	absolute barbeque private limited	CHEA19530A
40	absolute barbeque private limited	06AALCA4670J1ZG	absolute barbeque private limited	CHEA19530A
41	absolute barbeque private limited	09AALCA4670J1ZA	absolute barbeque private limited	CHEA19530A
42	absolute barbeque private limited	10AALCA4670J1ZR	absolute barbeque private limited	CHEA19530A
43	absolute barbeque private limited	18AALCA4670J1ZB	absolute barbeque private limited	CHEA19530A
44	absolute barbeque private limited	19AALCA4670J1Z9	absolute barbeque private limited	CHEA19530A
45	absolute barbeque private limited	21AALCA4670J1ZO	absolute barbeque private limited	CHEA19530A
46	absolute barbeque private limited	24AALCA4670J1ZI	absolute barbeque private limited	CHEA19530A
47	absolute barbeque private limited	27AALCA4670J2ZB	absolute barbeque private limited	CHEA19530A
48	absolute barbeque private limited	29AALCA4670J1Z8	absolute barbeque private limited	CHEA19530A
49	absolute barbeque private limited	33AALCA4670J1ZJ	absolute barbeque private limited	CHEA19530A
50	absolute barbeque private limited	36AALCA4670J1ZD	absolute barbeque private limited	CHEA19530A
51	absolute barbeque private limited	37AALCA4670J2ZA	absolute barbeque private limited	CHEA19530A
52	accept organic and natural products exim private limited	23AAQCA1628R1Z7	accept organic and natural products exim private limited	BPLA09624G
53	acclaim indistries	06AAVFA8829L1ZN	acclaim industries	DELA33489B
54	accu cast products	03AAIFA1955C1Z0	accu cast products	JLDA02983B
55	accurate industrial controls pvt ltd	27AADCA0868Q1Z6	accurate industrial controls pvt ltd	PNEA04179A
56	accurate industries	24AATFA3521F1ZP	accurate industries	RKTA03159C
57	accurate industries	24AAYFA7682A1Z8	accurate industries	RKTA03159C
58	accurate industries	24ACGPP8639N1ZW	accurate industries	RKTA03159C
59	accurate industries	27AAAFA1462A1Z8	accurate industries	RKTA03159C
60	accurate industries	34AARFA2721K1ZF	accurate industries	RKTA03159C
61	accurub technologies	27ABAFA8970G1ZB	accurub technologies	PNEA20060F
62	ace chemical agencies	09ADDPT3175B1ZL	ace chemical agencies	MRTA07024D
63	ace international llp	07AATFA3147K1Z4	ace international llp	DELA28090G
64	ace international llp	27AATFA3147K1Z2	ace international llp	DELA28090G
65	acetron trade llp	27ABHFA5082A1ZR	acetron trade llp	MUMA52588E
66	acey engineering pvt ltd	05AABCA9565G1ZN	acey engineering pvt ltd	SRTA00467F
67	acey engineering pvt ltd	24AABCA9565G1ZN	acey engineering pvt ltd	SRTA00467F
68	acey engineering pvt ltd	27AABCA9565G1ZH	acey engineering pvt ltd	SRTA00467F
69	achal amit co	09AABFA4109P1ZC	achal amit co	AGRA10502C
70	acme drinktec solutions llp	07ABJFA5594R1ZJ	acme drinktec solutions llp	DELA46488B
71	acme generics llp	02ABCFA2649A1Z9	acme generics llp	PTLA15140G
72	acme generics private limited	02AAVCA5625M1ZB	acme generics private limited	PTLA19333G
73	acme genrics llp	02ABCFA2649A1Z9	acme generics llp	PTLA15140G
74	acme industries	05AATFA1164G1ZK	acme industries	SHLA04287D
75	acme industries	18AATFA1164G1ZD	acme industries	SHLA04287D
76	acme life tech llp	02ABCFA4424F1Z6	acme life techllp	AHMA14752D
77	acme lifetech llp	02ABCFA4424F1Z6	acme life techllp	AHMA14752D
78	action construction equipment ltd	06AAACA6189P1Z5	action construction equipment ltd	RTKA02093A
79	aculife healthcare private limited	24AAMCA8542Q1Z0	aculife healthcare private limited	AHMA14013G
80	acventa research labs pvt ltd	07AAGCA4051J1ZS	acventa research labs pvt ltd	DELA21202G
81	add pens private limited	24AACCA3323R1ZN	add pens private limited	MUMA15620D
82	a d h agencies	03AABFA7269E1ZS	a d h agencies	PTLA10447D
83	adhesive specialities	24ABOFA7047E1ZH	adhesive specialities	BLRA31124C
84	adhesive specialities	29ABOFA7047E1Z7	adhesive specialities	BLRA31124C
85	adilec systems	27AAQFA9234Q1ZL	adilec systems	MUMA36414A
86	adinath industries	05AAEFA6033D1Z3	adinath industries	DELA08283C
87	adinath industries	08AAEFA6033D1ZX	adinath industries	DELA08283C
88	adinath indutries	08AAEFA6033D1ZX	adinath industries	DELA08283C
89	ador fontech limited	29AABCA1724H1ZY	ador fontech limited	BLRA01466D
90	adorn wirelinks pvt ltd	24AAFCA5647K1ZJ	adorn wirelinks pvt ltd	AHMA07860G
91	advance diesel engines pvt ltd	24AABCA8874E1ZP	advance diesel engines pvtltd	RKTA00619D
92	advance forgings pvt ltd	06AAACA9858R1ZV	advance forgings pvt ltd	DELA12166A
93	advance products pvt ltd	06AABCA1657K1ZR	advance products pvt ltd	DELA06289D
94	aero club	02AAFFA1530L1ZZ	aero club	DELA05566B
95	aero club	03AAFFA1530L1ZX	aero club	DELA05566B
96	aero club	07AAFFA1530L1ZP	aero club	DELA05566B
97	aero club	09AAFFA1530L1ZL	aero club	DELA05566B
98	aero plast ltd	06AAACA6121H1Z6	aero plast ltd	DELA11382A
99	aerostar helmets accessories	08ABEFA5297L1ZY	aerostar helmets accessories	JPRA09146E
100	afp manufacturing co private limited	10AADCA6503C1ZM	afp manufacturing co private limited	DELA18776C
101	aft automotive	08ABOFA6569K1ZP	aft automotive	DELA57608F
102	agarwal chemicals	19AAGFA1463M1Z9	agarwal chemicals	CALA00909G
103	agarwal sales corporation	09AAQFA9393J1ZL	agarwal sales corporation	LKNA07821C
104	agarwal sons	09ABVFA3613M1ZX	agarwal sons	LKNA16333C
105	a g engineering works	19AAJFA9129R1ZL	a g engineering works	CALA08759C
106	ag fibroteech pvt ltd	19AACCA5590Q1ZZ	ag fibrotech pvt ltd	CALA09774C
107	aggarwal exports	09AANFA7505M1Z0	aggarwal exports	LKNA07299F
108	agm industries	03ABNFA2061K1ZL	agm industries	JLDA07963E
109	agromach spares corporation	27AAAFA0607K1ZU	agromach spares corporation	MUMM20402E
110	ahata industries	07AAZFA5050H1Z7	ahata industries	DELA37871B
111	ai nova lighting	06AAOFA8767E1Z4	ai nova lighting	DELA22199C
112	air filter industries pvt ltd	19AACCA1913B1ZB	air filter industries pvt ltd	CALA05730E
113	air filter industries pvt ltd	27AACCA1913B1ZE	air filter industries pvt ltd	CALA05730E
114	air touch solar india private limited	09AATCA4678G1Z1	air touch solar india private limited	MRTA13121D
115	airysole footwear private limited	09AARCA4718M1Z1	airysole footwear private limited	KNPA04415F
116	aishwarya healthcare	02AAOFA1208J1ZV	aishwarya health care	PNEA09904G
117	aishwarya health care	11AAOFA1208J1ZW	aishwarya health care	PNEA09904G
118	aishwarya lifescience	02AASFA1811H1ZV	aishwarya lifesciences	PTNA02542B
119	aishwarya lifesciences	02AASFA1811H1ZV	aishwarya lifesciences	PTNA02542B
120	ajanta pharma limited	27AAACA5579P1Z1	ajanta pharma limited	MUMA08396D
121	a j auto pvt ltd	27AAACA8762G1ZL	a j auto pvt ltd	MUMA20474G
122	akar industry	27AACFA4208J1ZP	akar industry	NGPA00307G
123	ak sigen hospital care	27AAACU6716E1ZF	aksigen hospital care	MUMA08443B
124	aksigen hospital care	27AAAFA1465H1ZR	aksigen hospital care	MUMA08443B
125	albert david ltd	08AACCA3933D2Z1	albert david ltd	MRTA00770A
126	albert david ltd	09AACCA3933D1Z0	albert david ltd	MRTA00770A
127	alfa cotec industries	06AAAFH6850R1ZW	alfa cotec industries	RTKA05912E
128	alfa flexitubes pvt ltd	06AAACA7046D1Z4	alfa flexitubes pvt ltd	DELA05868C
129	alf engineering company	05AAAFA2372B1Z9	alf engineering company	MRTA02586D
130	alf engineering pvt ltd	05AAFCA6242G1ZZ	alf engineering pvt ltd	NSKA03681G
131	alf engineering pvt ltd	27AAFCA6242G1ZT	alf engineering pvt ltd	NSKA03681G
132	alf engineering pvt ltd	33AAFCA6242G1Z0	alf engineering pvt ltd	NSKA03681G
133	alf engineering pvt ltd9	36AAFCA6242G1ZU	alf engineering pvt ltd	NSKA03681G
134	alicon castalloy limited	29AABCP0252B1ZY	alicon castalloy limited	RTKE01059C
135	aliyan five enterprises	06ABSFA9037C1ZD	aliyan five enterprises	RTKA18464F
136	alkem laboratories limited	07AABCA9521E1ZZ	alkem laboratories limited	PTNA00241D
137	allahabad canning limited	09AANCA3352K2ZC	allahabad canning limited	ALDA03963B
138	allastir private limited	33AAPCA7119Q1Z3	allastir private limited	CHEA24094A
139	allena auto industries pvt ltd	03AAACA2766J1ZW	allena auto industries pvt ltd	DELA11662A
140	allena auto industries pvt ltd	03AAACA2766J2ZV	allena auto industries pvt ltd	DELA11662A
141	allena auto industries pvt ltd	03AAACA2766J1ZW	allena auto industries pvt ltd	DELA11662A
142	alliance copper concepts private limited	01AAFCA0630A1ZV	alliance copper concepts private limited	AMRA11234G
143	alliance international	06ABAFA5797K1Z3	alliance international	RTKA16016A
144	allied blenders and distillers private limited	16AAACY3846K1Z0	allied blenders and distillers private limited	SHLA04255G
145	allied jb friction private limited	33AAJCA4545L1ZJ	allied jb friction private limited	DELA28873F
146	allied tractors	07AAAFT0022B1Z3	allied tractors	DELA07380C
147	all kind healthcare	02AARFA2627G1ZQ	all kind health care	PTLA13772D
148	almo electrical industries	06AABFA8085A1ZU	almo electrical industries	RTKA02950D
149	alok industries	07AAEPC1735G1Z7	alok industries	DELA01721G
150	alok industries	08AAAFA8732B1ZV	alok industries	DELA01721G
151	alpa laboratories ltd	23AACCA8437C2Z2	alpa laboratoreis ltd	BPLA02074C
152	alphaa springs chennai pvtltd	33AACCA4143P1ZO	alpha springs chennai pvt ltd	CHEA02907C
153	alpha services	08AAEFA8197N1ZR	alpha services	DELA02407G
154	alpla india pvt ltd	02AAFCA3154M1ZV	alpla india pvt ltd	MRTA02809C
155	alpla india pvt ltd	02AAFCA3154M2ZU	alpla india pvt ltd	MRTA02809C
156	alpla india pvt ltd	05AAFCA3154M1ZP	alpla india pvt ltd	MRTA02809C
157	alpla india pvt ltd	26AAFCA3154M1ZL	alpla india pvt ltd	MRTA02809C
158	alpla india pvt ltd	33AABCR2655Q1Z1	alpla india pvt ltd	MRTA02809C
159	alpla india pvt ltd	36AAFCA3154M1ZK	alpla india pvt ltd	MRTA02809C
160	alstone green india private limited	08AATCA1535G1ZL	alstone green india private limited	JPRA11945D
161	alwar lamps pvt ltd	08AABCA3396H1ZM	alwar lamps pvt ltd	JPRA00957F
162	alwin willcure pharmaceuticals	23AAMFA8448A1ZO	alwin willcure pharmaceuticals	BPLA04106E
163	amalgamation repco ltd	33AADCA8200E1ZC	amalgamations repco ltd	CHEA00205C
164	amalgam steel power limited	20AAECA5290R1ZF	amalgam steel power limited	RCHA00365B
165	amar autotech private limited	05AAKCA3183B1Z2	amar autotech private limited	PTLA14327F
166	amar engineers fabricators	06AAJFA1852F1ZR	amar engineers fabricators	RTKA04453B
167	amar singh and sons tree nuts llp	01ABOFA3316N1ZI	amar singh and sons tree nuts llp	AMRA15504G
168	amar trades ltd	19AADCA1330M1ZS	amar trades ltd	CALA05463D
169	amazon drugs private limited	29AABCA4370K1ZJ	amazon drugs private limited	BLRA00931A
170	amazon seller services private limited	29AAICA3918J1ZE	amazon seller services private limited	BLRA14702C
171	ambertex universal export	33AABFU3834F1ZG	ambertex universal export	CMBU03276A
172	ambit transmission products private limited	05AATCA2612E1ZZ	ambit transmission products private limited	DELA57402C
173	ambuja overseas llp	06AAMFA6734H1ZD	ambuja overseas llp	RTKA04331F
174	am industries	06ABIFA6145R1ZX	am industries	MRTA01231G
175	am industries	09AABFA6629A1ZU	am industries	MRTA01231G
176	am industries	29AHHPP8299C1ZQ	am industries	MRTA01231G
177	amit engineers	02AAKFA5620L1ZN	amit engineers	PTLA11964B
178	amit engineers	02ABCFS2535H1ZK	amit engineers	PTLA11964B
179	amit hydrocolloids	24AAHFA6241Q1Z7	amit hydrocolloids	MUMA36178C
180	amit traders		amit traders	SHLA02573E
181	amit traders	07ARJPS5243H1ZI	amit traders	SHLA02573E
182	amit traders	09ACQPR4850F1Z4	amit traders	SHLA02573E
183	amol auto parts	27AACFA7920M1ZA	amol auto parts	PNEA04906G
184	ampere industries private limited	06AAUCA8246R1ZN	ampere industries private limited	DELA61350C
185	amzone international private limited	27AAKCA8736G1ZD	amzone international private limited	BLRA17529B
186	anand agencies and mfgco p ltd	33AAACA4686M1ZG	anand agencies and mfg co p ltd	CHEA08831E
187	anand mando emobility private limited	08AAUCA8024H1ZC	anand mando emobility private limited	DELA61291G
188	anantjeet nutriments llp	01ABHFA0369G1ZX	anant jeet nutrments llp	MRTA08926B
189	anca international llp	09ABLFA0652L1Z8	anca international llp	DELA53835F
190	anchal agroils llp	07ABFFA8845H1Z8	anchal agroils llp	DELA43283C
191	anchemco anand llp	02AAQFA7097M1ZW	anchemco anand llp	PTLA13533C
192	anco motors	27AAAFA2720M1ZO	anco motors	MUMA06490B
193	aneeta plastpack llp	24ABEFA0739P1ZB	aneeta plastpack llp	AHMA15690D
194	anek prayog pvt ltd	27AACCA6459N1Z6	anekprayog pvt ltd	MUMA22236E
195	angal associates private limited	29AAKCA5529P1ZX	angel associates private limited	DELA53845B
196	angel associates private limited	29AAKCA5529P1ZX	angel associates private limited	DELA53845B
197	anil enterprises	19AAFFA9813Q1ZS	anil enterprises	CALA02877A
198	anil enterprises	20ANNPR1110N1Z4	anil enterprises	CALA02877A
199	anil international	33ABKFA2461Q1Z5	anil international	CMBA09072A
200	anjani technoplast ltd	09AACCA3104G2Z6	anjani technoplast ltd	DELA13649G
201	ankur udyog limited	09AACCR4589G1ZZ	ankur udyog limited	LKNA15664F
202	anmol auto electrials	06AAHFA0644B1Z5	anmol auto electricals	RTKA02383D
203	anmol auto electricals	06AAHFA0644B1Z5	anmol auto electricals	RTKA02383D
204	anmol healthcare laboratory private limited	24AATCA0566F1ZO	anmol healthcare laboratory private limited	AHMA20847B
205	anmol polymers pvt ltd	02AAACA0870F1ZE	anmol polymers pvt ltd	DELA12764D
206	an polymers pvt ltd	07AAACA7802M1ZN	a n polymers pvt ltd	DELA12255F
207	anshul life sciences	27AAEFA5660J1ZD	anshul life sciences	MUMA04159B
208	anshul life scinces	27AAEFA5660J1ZD	anshul life sciences	MUMA04159B
209	ansons electro mechanical works	27AABFA2930J1ZP	ansons electromechanical works	MUMA04310F
210	ansun multitech india limited	09AAACA0507H1Z6	ansun multitech india limited	MRTA11541F
211	anu overseas	09AALFM1195K1ZS	anu overseas	AGRA11676A
212	aos products private limited	09AAICA0373K1ZJ	aos product private limited	DELA26024F
213	aov clever knits llp	09ABHFA6117G1ZJ	aov clever knits llp	DELA44886C
214	apar industries ltd	24AAACG1840M1ZR	apar industries ltd	MUMA42643G
215	apar industries ltd	26AAACG1840M1ZN	apar industries ltd	MUMA42643G
216	apar industries ltd	27AAACG1840M1ZL	apar industries ltd	MUMA42643G
217	aparna controls pvt ltd	36AAECA0469J1ZN	aparna controls pvt ltd	HYDA01700G
218	apex international	05AAQFA3937J1Z7	apex international	MRTA03714E
219	apex laboratories private limited	33AAACA5174G1Z0	apex laboratories private limited	CHEA00690E
220	apis india limited	19AAACM0656K1ZC	apis india limited	DELA21493D
221	apparna controls pvt ltd	36AAECA0469J1ZN	aparna controls pvt ltd	HYDA01700G
222	applied communication and controls	05ABBFA5741J2ZL	applied communication and controls	CHEA23908D
223	aprazer healthcare pricate limited	07AAQCA2323K1ZL	aprazer healthcare private limited	DELA46943B
224	aprile india private limited	27AAKCA1842R1Z5	aprile india private limited	MUMA41029C
225	apsc electronics private limited	09AARCA2883R1ZL	apsc electronics private limited	MRTA10409A
226	aqua fiber industries	03AAZFA6325M1Z0	aqua fiber industries	RTKA09501C
227	aquarius engineers pvt ltd	07AACCA2748L1ZK	aquarius engineers pvt ltd	PNEA05675F
228	aquarius engineers pvt ltd	29AACCA2748L1ZE	aquarius engineers pvt ltd	PNEA05675F
229	aquarius engineers pvt ltd	27AACCA2748L1ZI	aquarius engineers pvt ltd	PNEA05675F
230	aqua space developers private limited	36AAHCA0369E1ZW	aqua space developers private limited	HYDA16350F
231	archidply decor limited	29AAPCA6975N1ZK	archidply decor limited	BLRA25456E
232	ardee industries pvt ltd	37AAACA7357D1ZT	ardee industries pvt ltd	CHEA02517E
233	a r enterprise	02AAPFA7903B1ZX	a r enterprises	DELA56402D
234	a r enterprises	27AAAFA2464L1ZH	a r enterprises	DELA56402D
235	arihant electricals	07AAAFA2753N1ZF	arihant electricals	DELA13210B
236	arihant life care	19AAPFA0982Q1ZM	arihant life care	CALA11572B
237	arihant organisation	08ABBFA1455D1ZY	arihant organisation	JPRA08796E
238	arihant precision screws	06ABCFA1378A1Z1	arihant precision screws	RTKA09946G
239	arihant sheet metal components	06ABMFA1116C1Z3	arihant sheet metal components	RTKA14306F
240	ark chemicals private limited	27AAGCA6004R1ZD	ark chemicals private limited	MUMA31216D
241	arommac industries	24ABCFA2651A1Z9	arommac industries	SRTA07416D
242	arresto solutions private limited	09AAQCA8313F1ZI	arresto solutions private limited	MRTA09699E
243	arroma industries	24AAJFA7753P1ZW	arroma industries	AHMA03914B
244	arrow powertech pvt ltd	33AAICA3166C1Z4	arrow powertech pvt ltd	BRDA03744G
245	artevet india llp	27ABDFA1623K1ZN	artevet india llp	MUMA49058C
246	artic bath india private limited	32AATCA0511C1ZC	artic bath india private limited	CHNA08817E
247	art n glass inc	02AAPFA0898K1Z6	art n glass inc	DELA22468F
248	art n glass inc unit ii	02AAPFA0898K1Z6	art n glass inc unitii	PTLA14307G
249	aruna trade combines	33AAGFA8376F1ZG	aruna trade combines	BLRA10004B
250	arvind fashions limited	29AAOCA0655N1Z4	arvind fashions limited	AHMA16028F
251	arvind lifestyle brands limited	29AAACH7252A1ZV	arvind lifestyle brands limited	BLRA13429D
252	asahi india glass limited	05AADCA7706R1ZB	asahi india glass limited	MUMA18954F
253	asahi india glass limited	27AADCA7706R1Z5	asahi india glass limited	MUMA18954F
254	asahi india glass ltd	27AADCA7706R1Z5	asahi india glass ltd	MRTA02581F
255	asahi india glass ltd	29AADCA7706R1Z1	asahi india glass ltd	MRTA02581F
256	asahi india glass ltd	33AADCA7706R1ZC	asahi india glass ltd	MRTA02581F
257	asean pack	24ABHFA7700P1Z9	asean pack	AHMA16949C
258	ash alain india p ltd	09AAACA6664R1ZZ	ash alain india p ltd	DELA07474F
259	ashi india glass ltd	33AADCA7706R1ZC	asahi india glass ltd	MRTA02581F
260	ashoka tessiles	06ABEFA8398J1ZY	ashoka tessiles	DELA40412B
261	ashvini magnets pvt ltd	27AABCA4615M1ZN	ashvini magnets pvt ltd	PNEA01793B
262	asian carpets	03AAKFA9367N1ZX	asian carpets	JLDA02650E
263	asian test equipment	09AAJFA0836D1ZR	asian test equipments	MRTA03492G
264	asian test equipments	09AAJFA0836D1ZR	asian test equipments	MRTA03492G
265	ask automotive pvt ltd	06AAACA7205Q1ZK	ask automotive pvt ltd	DELA12563F
266	asm castings private limited	06AAJCA3278N1Z8	asm castings private limited	RTKA06858F
267	aspee springs limited	06AAACA6173F2ZX	aspee springs limited	DELA13185E
268	aspee springs limited	27AAACA6173F1ZU	aspee springs limited	DELA13185E
269	asr resin and chemicals inc	33ABRFA3536D1ZN	asr resin and chemicals inc	CHEA29279F
270	assam agrotech private limited	18AAICA8420D1ZV	assam agrotech private limited	SHLA02294F
271	assam air products pvt ltd	18AABCA1967E2ZT	assam air products pvt ltd	SHLA00173F
272	associated biotech	02AALFA5132G1ZY	associated biotech	PTLA12408E
273	associated formulations private limited	07AAQCA5247G1ZH	associated formulations private limited	DELA48083A
274	associated toolings india pvt ltd	19AAECA7887N1ZR	associated toolings india pvt ltd	CALA05915A
275	associated toolings india pvt ltd	19AAECA7887N1ZR	associated toolings india pvt ltd	CALA05915A
276	assomac machines ltd	09AABCA4266G1ZR	assomac machines ltd	MRTA00915F
277	astam healthcare pvt ltd	02AADCA9308H1Z0	astam health care pvt ltd	DELA11587C
278	astra labs	33ABAFA4280B1Z5	astra labs	CHEA23292D
279	astral steritech private limited	24AAKCA8971F1ZG	astral steritech private limited	BRDA04170F
280	atai auto ancillarics	26AAGFA0338M1ZI	atai auto ancillaries	MUMA14520C
281	ata implex private limited	27AAJCA9817D1ZK	ata impex private limited	PNEA15916F
282	atit engineering industries	27AAMFA7504K1Z8	atit engineering industries	NGPA04273D
283	atlas life science private limted	24AAECA7028F1Z0	atlas life sciences private limited	AHMA04086F
284	atlas life sciences private limited	24AAECA7028F1Z0	atlas life sciences private limited	AHMA04086F
285	atop fastners pvt ltd	03AACCA4741P1ZN	atop fasteners pvt ltd	PTLA10226G
286	atop fastners pvt ltd	04AACCA4741P1ZL	atop fasteners pvt ltd	PTLA10226G
287	atul auto limited	24AACCA3018M2ZW	atul auto limited	RKTA00416D
288	atul bioscience limited	24AACCA0331P1ZX	atul bioscience limited	SRTA02106G
289	aura industries	09ABFFA2562B1ZU	aura industries	MRTA07576C
290	auro plastic injection moulders pvt ltd	20AABCA3925G1ZB	auro plastic injection moulders pvt ltd	RCHA00305E
291	auspharma private limited	36AATCA8968M1ZI	auspharma private limited	HYDA25191F
292	autish agro exports	27AAXFA3888M1ZE	autish agro exports	MUMA44699E
293	auto component	05AAMFA4708R1Z0	auto component	DELA17646G
294	auto engineers india	09AABFA8695G1Z4	auto engineers india	AGRA10749E
295	auto industries	09AAUFA7612G1Z6	auto industries	MRTA05055B
296	auto international	03AAGFA2950D1Z3	auto international	JLDA00027G
297	automatic electric ltd	27AAACA3542J1ZU	automatic electric ltd	MUMA19845A
298	autometers alliance ltd	09AAACA7870P1Z1	autometers alliance ltd	DELA11683A
299	auto profile limited	09AABCA3931A1Z9	auto profiles limited	RCHA00243F
300	autotech industries	05ABLFA1675P1ZZ	auto tech industries	CHEA01201E
301	autoways polymers industries	09ABQFA1119B1ZS	autoways polymers industries	MRTA12985A
302	avaids technovators pvt ltd	06AAACA2829E1Z5	avaids technovators pvt ltd	DELA12447B
303	avaids technovators pvt ltd	08AAACA2829E2Z0	avaids technovators pvt ltd	DELA12447B
304	avery dennison india private limited	06AAACA6163D2Z3	avery dennison india private limited	DELA05957A
305	avesta enterprises pvt ltd	27AABCA4091P1ZB	avesta enterprises pvt ltd	MUMA16374B
306	avighna engeneering company	33AAZFA8798E1ZP	avighna engineering company	CHEA23332B
307	avira polymers private limited	27AAJCA5485F1ZG	avira polymers private limited	DELA28435B
308	avizen biopharma private limited	18AAOCA6748E1ZC	avizen biopharma private limited	SHLA03947G
309	avl technical centre pvt ltd	06AADCA1470C1ZB	avl technical centre pvt ltd	DELA08190A
310	avni foods	27ABPFA0208C1ZX	avni foods	NGPA09482E
311	avon meters pvt ltd	03AABCA3428Q1ZO	avon meters pvt ltd	PTLA11380F
312	avs lighting solution	05ABCFA2263Q1ZC	avs lighting solutions	DELA40559B
313	avtec limited	23AAFCA1313C1ZN	avtec limited	CHEA12023E
314	ayushi engineering company	24AAJFA6397F1ZB	ayushi engineering company	RKTA01080C
315	azillian health care pvt ltd	24AAFCA8412Q1ZE	azillian health care pvt ltd	AHMA07388D
316	aztec engineers pvt ltd	20AABCA3924H1ZA	aztec engineers pvt ltd	RCHA00278F
317	baala triple e care llp	07AAVFB4875B1Z7	baala triple e care llp	DELB22853F
318	bachio toys private limited	23AAICB7966R1ZT	bachio toys private limited	BPLB06155C
319	bader leather india private limited	33AAFCB8872P1Z0	bader leather india private limited	CHEB09132E
320	bajaj motors limited	06AAACB7413P5ZF	bajaj motors limited	RTKB02204G
321	bajaj steel industries limited	27AAACB5340H1ZY	bajaj steel industries limited	NGPB00111G
322	balaji action buildwell	05AAHFB6176D1ZN	balaji action buildwell	DELB09354C
323	balar marketing private limited	07AAACB0361N1ZS	balar marketing private limited	DELB06530G
324	baliga lighting equipments pvt ltd	33AAACB1334K1Z4	baliga lighting equipments pvt ltd	CHEB00199D
325	baljit engineering pvt ltd	19AABCB1087E1ZW	baljit engineering pvt ltd	CALB05373E
326	balkrishna industries limited	08AAACB3333J1ZW	balkrishna industries limited	JPRB01876A
327	bal pharma limited	05AABCB0512E1ZL	bal pharma limited	BLRB00607F
328	bal pharma limited	29AABCB0512E1ZB	bal pharma limited	BLRB00607F
329	bangalore fluid system component pvt ltd	29AABCB1823G1ZZ	bangalore fluid system components p ltd	BLRB01319D
330	bannari amman sugars ltd	33AAACB8933G1ZU	bannari amman sugars ltd	CMBB03038A
331	banswara garments	26AAACB8403F1Z2	banswara garments	SRTB01386A
332	banswara syntex limited	08AAACB8403F1Z0	banswara syntex limited	JDHB01978E
333	barbeque nation hospiality limited	06AAKCS3053N2ZZ	barbeque nation hospitality limited	BLRB11709F
